author,authorSlug,title,description,year,yearStart,yearEnd,technique,dimensions,source,tags,image,video,publish
Magdalena Jetelová,magdalena-jetelova,Konverzace 1580,,2018,,,fotografie,,,"landart, krajina, geologie, klimatická-změna",/images/Jetelova_1.jpg,,TRUE
Magdalena Jetelová,magdalena-jetelova,Linie 2451,,2018,,,fotografie,,,"landart, krajina, geologie, klimatická-změna",/images/Jetelova_2.jpg,,TRUE
Patricie Fexová,patricie-fexova,ze série Krajiny,,2018,,,akryl na plátně,2 x 70x230 cm,,"krajina, obloha, abstrakce, země",/images/Fexova_1.jpg,,TRUE
Michal Kindernay,michal-kindernay,Calendarium Caeli – Heliophilia,"Projekt vznikl časosběrem proměňující se oblohy. Prostřednictvím kompozice kamerových snímků mapuje celý astronomický rok: 24 hodin, 12 měsíců. 1 den přitom ve vertikálně rozvíjené schématu obsahuje 4320 snímků, celý rok – tedy 365 denních sloupců – pak 1 576 800 snímků
.
",2019,,,video,12min,ve sbírkách GHMP,"obloha, abstrakce, klimatická-změna",,/videos/Kindernay.mp4,TRUE
Jitka Svobodová,jitka-svobodova,Kmeny stromů,,2020,,,"pastel, papír",,,stromy,/images/Svobodova_1.jpg,,TRUE
Jitka Svobodová,jitka-svobodova,Stromy,,2020,,,"pastel, drát, papír",,,stromy,/images/Svobodova_2.jpg,,TRUE
Jitka Svobodová,jitka-svobodova,Stromy ve větru,,1974,,,"drát, papír, barva",,,stromy,/images/Svobodova_3.jpg,,TRUE
Jan Jedlička,jan-jedlicka,"Maremma, 250 colori",,2015,,,pigmenty na japanu a plátně,,,"země, abstrakce, pigmenty, geologie",/images/Jedlicka_1.jpg,,TRUE
Jan Jedlička,jan-jedlicka,Velká zelená Praha,,,2018,2019,pigmenty na japanu a plátně,,,"země, abstrakce, pigmenty, geologie",/images/Jedlicka_2.jpg,,TRUE
Jan Jedlička,jan-jedlicka,200m,,,2008,2015,"fotografie, světlotisk",,,krajina,/images/Jedlicka_3.jpg,,TRUE
Erika Bornová,erika-bornova,Vodní bytosti,,2020,,,akryl a olejový pastel na papíře,,,"voda, mořský-život",/images/Bornova_1.jpg,,TRUE
Erika Bornová,erika-bornova,Rostliny,,2019,,,akryl a olejový pastel na papíře,,,"voda, mořský-život",/images/Bornova_2.jpg,,TRUE
Erika Bornová,erika-bornova,Vodní bytosti,,2020,,,akryl a olejový pastel na papíře,,,"voda, mořský-život",/images/Bornova_3.jpg,,TRUE
